type,filename,ela_std,ela_mean,log_hf_ratio,tail_70,tail_80,tail_90,spectral_slope,wavelet_cH_std,wavelet_cV_std,wavelet_cD_std,wavelet_cH_energy,wavelet_detail_ratio,lbp_entropy,lbp_uniformity,lbp_mean,lbp_std,gradient_mean,gradient_std,gradient_max,gradient_skew,gradient_kurtosis
FAKE,easy_160_0011.jpg,1.807039641696672,2.1042981481481484,-3.1089283355408615,-6.804911875945386,-5.155691076532648,-1.920820651153958,-4.128867440112002,13.187567761732923,14.398671341624844,6.668543250702161,15966682.129055023,0.0019426873260645322,2.206549143636067,0.26093507189814813,18.760808333333333,8.510670172850178,10.080169902089134,14.470525278245768,140.72402069298616,2.881231050548603,10.550079590301984
FAKE,easy_124_1110.jpg,2.7404913995663978,3.403329629629629,-3.5508270954702197,-6.077672338818002,-5.496810595213915,-3.868654055508632,-4.736243648152122,10.145474058834816,12.37425021505596,4.463436652235644,9450068.047294473,0.001205872578398383,2.6176113286892018,0.15231049070987654,16.690077777777777,8.408137816990525,12.490399375179878,16.110647828330993,167.96800290531527,2.8276776556741665,10.043318820387894
FAKE,hard_110_1110.jpg,1.145237347759115,1.6263370370370365,-3.6101305606805476,-6.231162185027913,-5.840771925129873,-5.618181912863583,-4.839260261938361,3.976042050041633,3.7993813476177625,1.5930326143122628,1451402.852138733,0.00031695443365640494,2.16053588854192,0.2765284844907407,18.731630555555554,8.869563596752894,4.760804125458091,4.625296947959019,93.80964769148214,4.146942722543453,29.697180861117168
FAKE,hard_15_1111.jpg,0.8406969413945987,1.159362962962963,-4.357335980067609,-3.1864553117043988,-1.6914048521674614,-2.563787153442007,-4.778265126473288,1.4986399004424023,1.2955832870902448,0.49654386132515754,206196.1986066717,4.2186799742166214e-05,2.861907922925885,0.08057866905864197,14.70673888888889,6.885793598145782,3.126642377665346,3.84584396141088,77.71904528492357,5.010200252815493,45.70710376128709
FAKE,easy_1_1110.jpg,1.4784718962429113,2.0182537037037034,-3.7391841989830112,-6.695561308008523,-5.568065687980439,-2.120175639950445,-4.154726904008228,5.842490960243834,4.862891534981377,2.6055536259045455,3133874.8276768043,0.0003836199256333517,2.319151885050836,0.23452578683641978,18.311291666666666,8.468291855073746,5.777425585030581,7.4456164022486435,98.2153246698294,3.776008290680677,19.094419991686873
FAKE,mid_238_1111.jpg,1.302595805500255,1.1756092592592597,-3.853224977508547,-5.7196306608150795,-4.331076726625495,-2.0446054516451055,-4.1300778262368,3.708604792312995,2.965556157482547,1.5614353846298494,1262738.5778817583,0.00027299501960671973,2.7543215317448877,0.10184770399691358,15.832169444444444,7.272087971152265,3.569065036692879,5.24587719467719,88.15469357895812,4.262804088075749,27.53042563152235
FAKE,mid_186_1100.jpg,2.2628092025790054,2.8633138888888894,-2.3362352234618444,-3.9920584909960017,-5.444214310654568,-5.346851435047478,-0.7864791659432288,8.122770710763243,8.907180558250863,8.919488809031966,6057529.654701556,0.0015902323007730725,1.7689083526632743,0.3830539862037038,20.12472222222222,8.489782743624868,7.325011453457801,7.379227478465087,118.50105484762572,2.4735985930925075,12.529838865257574
FAKE,mid_299_1100.jpg,0.9628788816884561,0.8359509259259259,-3.4117824809120636,-6.641368337625956,-5.718194950597668,-3.6843263101189603,-4.132049522636335,5.938942033879343,9.222989775404637,3.5186766091508326,3238207.324571096,0.0003339994552211859,2.3768681770762154,0.21675149640432098,18.50627777777778,8.427351272991714,6.0503613996191765,9.40427683383106,105.25445358748483,3.0882082311676884,12.71074626593962
FAKE,hard_227_1100.jpg,0.8369648735562587,1.0616990740740737,-3.998169145769089,-4.982556700827284,-3.8212987768378834,-2.7302869642249767,-4.315379130970303,1.9370302197843468,1.7398583340637346,0.9231048123018226,344475.2738955349,7.088391719946296e-05,2.41239560620267,0.21052151578703707,18.06440277777778,8.291710355261323,2.6417063375180234,3.411521449227504,53.96758286230726,4.273104740421286,26.778701399058786
FAKE,mid_124_1110.jpg,1.1751950160199605,1.1049324074074074,-4.3321073120499,-3.2164234383843615,-1.3176074472576371,-2.9067220625714025,-5.364746044502554,1.5592768826588341,1.437427165478188,0.4781709878075213,223226.3416612267,5.4229648564038824e-05,2.8047506004029983,0.09531219432098766,16.448127777777778,7.4069350645418455,2.828534150601095,5.7584931939213835,102.92351529169609,6.1390991299141575,51.77149039608913
FAKE,easy_87_0110.jpg,1.3999812718899711,1.508990740740741,-3.53237965986708,-4.4764427334331565,-5.409576419719648,-10.178167785146718,-3.8289500971299684,5.215954142558113,5.810300186701606,3.146926004028482,2497772.280475057,0.0002760714191177729,2.661100109575851,0.12727346064814815,16.35974722222222,7.658917913306689,5.507162820962181,8.76461311639473,134.31678971744373,3.944568099644865,23.08870228903229
FAKE,easy_84_0011.jpg,1.2246127739201995,1.3500675925925925,-3.6180020487487656,-5.893078804104008,-4.760734045669557,-3.929251312260805,-4.341331050166303,3.351837493956216,3.1142840259303832,1.5475686344939346,1031459.9506147035,0.0002958921610923714,2.4263697143296636,0.20131660191358028,18.11581111111111,8.303703926420686,3.4431885167424063,4.725383294783365,100.51119340650573,4.371662168887642,31.510009485742017
FAKE,hard_231_1111.jpg,1.2639367335670122,1.7567046296296303,-3.8759535631549635,-4.963703980771139,-4.353963098716129,-4.890309170927797,-4.652109144201455,4.862245924445471,5.660560714779323,2.305664648308501,2170499.7331275223,0.00031805690921177444,2.409742749504183,0.21082942396604937,17.953352777777777,8.519381767671034,6.065458885387855,6.8488549962507985,147.78531726798843,3.042783987901335,18.962469540875272
FAKE,hard_228_1111.jpg,1.1439791149622538,1.4491425925925925,-3.6754965130382256,-5.907406457697995,-4.797087519919552,-6.2483805574844276,-3.8247549788588553,2.9217423262728826,2.889878780977824,1.4888082632897413,783734.7798399064,0.00015174601470790597,2.5506036293914143,0.16628205057098766,17.24382222222222,8.059970061397083,3.186787598477226,3.846139489001722,72.06420748193932,4.553777889565612,37.21951717708059
FAKE,mid_129_0101.jpg,1.2212362423445808,1.261437037037037,-3.7769442845697014,-5.238333629077713,-4.485446995230126,-5.295526805641745,-3.9769185486874354,3.853751154931994,2.9894282752008907,1.7650311924877418,1363493.7803678415,0.00044625045259867374,2.541750157022917,0.16649771841049382,18.117522222222224,7.857398825633183,3.472414199094081,5.3720341990241804,100.41912168506553,4.357355849369957,33.01336129709668
FAKE,easy_100_1111.jpg,1.6190180208280938,2.2531574074074077,-3.1362958567323354,-7.545201830447696,-5.791743114449791,-5.909531607080185,-4.1162206477654575,4.633926886087615,10.182983586095338,3.62065881425237,1971443.8202932957,0.00032648794340647456,1.911784097345771,0.34177136061728397,19.57908888888889,8.722716221509655,7.089669773975927,8.092914158651718,84.970583144992,2.5210278496574516,9.004639061066426
FAKE,mid_19_1000.jpg,2.3404605041688002,2.562327777777778,-3.589505251258049,-6.752354482401774,-5.819051339594656,-7.035351717301483,-4.607107246594788,6.802253171849706,8.14485821556012,3.265834126617862,4248062.2606630195,0.0011372109074679726,2.520202601019801,0.17854328679012346,17.475047222222223,8.412689794655654,8.910920594790452,11.629802639388046,130.18832512940628,2.2693906258370897,6.209838043150096
FAKE,mid_463_0100.jpg,1.3199769147696077,1.3552722222222222,-3.592024500549299,-5.783013406515514,-4.504987589757602,-5.008604455941395,-4.553531814967845,5.253067174241486,5.301887193020632,2.0902908868086367,2533446.586662802,0.00035801408372777225,2.542751327933189,0.1759102714351852,17.8653,8.255149592762622,5.123046498695406,6.527695281132218,80.9027193609708,2.519162109143705,9.091251337470146
FAKE,hard_127_0011.jpg,1.1197495726726963,1.0668407407407408,-3.918595330447225,-5.757148578659971,-4.21532711593441,-1.6457368913261883,-4.95492621854787,4.162875577412334,5.053081063947181,1.7139587949747153,1591007.9597588452,0.0003723690432151759,2.7268189090279598,0.12070397324074074,16.36746388888889,7.866096431403599,5.619685527471188,8.346428202470655,93.05106125133662,3.306938802112333,14.178637438875665
