type,filename,ela_std,ela_mean,ela_max,log_hf_ratio,tail_60,tail_70,tail_80,tail_85,tail_90,spectral_slope,red_mean,red_std,red_skew,red_kurtosis,green_mean,green_std,green_skew,green_kurtosis,blue_mean,blue_std,blue_skew,blue_kurtosis,rg_corr,rb_corr,gb_corr,noise_std,noise_mean,noise_max,wavelet_cH_std,wavelet_cV_std,wavelet_cD_std,wavelet_cH_energy,wavelet_detail_ratio,wavelet_cH_mean,wavelet_cV_mean,lbp_entropy,lbp_uniformity,lbp_mean,lbp_std,gradient_mean,gradient_std,gradient_max,gradient_skew,gradient_kurtosis,edge_density
REAL,real_00411.jpg,1.4450613625454722,2.1393120370370364,16.0,-3.4645223390961695,-6.564891472937598,-6.220865758053876,-5.2515880362684415,-4.757805316820873,-3.8255049110793578,-3.6381246938532428,124.33271944444445,56.53024992076915,-0.2249688326070615,-1.105430947634403,115.53300277777778,46.26464782741177,-0.8179520511074628,-0.21885413027206635,97.38375,52.34516694599576,0.019377594021998245,-1.2296385779263208,0.88132985796324,0.960529518043591,0.8971044494389442,118.70090576362536,93.48952222222222,255.0,5.305837276262816,5.183782562520578,2.8781475381606616,2584621.886382297,0.0004454079776570491,3.698947067963519,3.6047062760611213,1.9567077367045267,0.33844909825617286,19.516494444444444,8.51281583783286,5.535920398289125,5.695758588578168,88.29071298839986,3.6180608962513108,19.869830988630543,0.09955277777777778
REAL,real_00412.jpg,0.9099223518624519,0.9693342592592592,11.0,-3.845801555467053,-11.199668299554546,-3.707818890990888,-1.6300974303392157,-1.1891405117888714,-0.608872897762367,-5.5669398577276255,87.38220555555556,62.62121114750153,0.8721765654350075,-0.7585956700046834,75.38076666666667,52.7373403984417,1.4770400434549458,1.1258631360394844,68.22883333333333,58.56341431659075,1.526610099958476,1.2585516129198,0.952748198737694,0.9286435830921346,0.9914902501952731,91.90052210234315,42.018591666666666,255.0,1.698619681863209,1.246970883919425,0.47284767151521634,264899.7188538556,7.58189595822395e-05,0.8522654989219686,0.7411003529964159,2.815717777566947,0.0950874023302469,16.377180555555555,7.39565329137924,2.6885348256529884,4.672428801802947,60.8276253029822,4.719911487866107,29.236330448269285,0.09811111111111111
REAL,real_00413.jpg,1.9986035578568484,2.794335185185185,22.333333333333332,-2.46616977985088,-6.235241023288505,-6.981221426051386,-7.1251496893706765,-6.764565152785911,-6.378306316317766,-3.004411734811327,84.55071666666667,71.53881716350261,0.5787502303620176,-1.1495408828811537,57.07588055555556,52.36032197323932,1.0445747964873087,0.3403475556881017,55.72473055555555,50.01509457220178,1.2857868574504625,1.2897422426084253,0.951460943181207,0.8974294366667592,0.9837150173364448,118.65830497722317,112.589125,255.0,15.28282005609605,16.710780009502646,9.561955341862602,21443336.86002151,0.007950794919977092,8.115136486645165,8.778603890825481,1.7889651528197568,0.37339109658950614,19.93696111111111,8.691910893893043,11.232736213100322,15.311993087308833,167.37084572887835,3.2517696810768193,12.879278008719917,0.09991666666666667
REAL,real_00414.jpg,1.6602935629814919,1.3857499999999998,21.666666666666668,-3.39033966134084,-6.034958655873845,-6.310839158476898,-6.279464609834455,-6.450746225966051,-6.214276442006621,-3.889735260841948,179.4977861111111,73.02132531428234,-1.0417627646415655,-0.29848216253749316,159.8895638888889,82.201680544992,-0.4446280058938718,-1.359700029953262,160.24600833333332,86.03379971725542,-0.30301350400476224,-1.6025569352338425,0.949945602525594,0.9093047979619762,0.9915780503241739,101.8000473894369,58.09115833333333,255.0,6.830382157874354,6.080473331319454,3.1919500910642205,4283281.221745319,0.0003430364825052933,2.993311512424712,2.7249725350412652,2.493555922395996,0.170481717808642,18.89056111111111,7.780391365237704,5.393899187001181,10.211649809812602,114.29020080479341,3.6030496424026954,16.62478326867769,0.09987777777777777
REAL,real_00415.jpg,1.3188314583570284,1.6771018518518517,14.0,-3.575953820350211,-6.019140929308388,-5.52211328047881,-4.203178425522197,-3.539793484745538,-2.5778316126466105,-3.6384649931849684,100.18507777777778,45.340260580961676,0.6756468201690835,-0.2800528515957379,85.95912222222222,33.987350606210924,0.9938237447890388,0.6928063497669004,71.58524722222222,25.723980049319156,1.5863323133982208,3.4333836898596477,0.9696968686132553,0.9075208470960338,0.9709553381808245,115.13695587034707,79.97125555555556,255.0,4.0743017780325195,3.7768312035830554,2.0579249734388205,1524024.05816139,0.00045445332974677416,2.640753438471267,2.5371045732778317,2.19288383316153,0.27418036077160496,18.841066666666666,8.626293537525578,4.144467300283247,4.444246338706387,109.08941286852726,4.552989242159701,39.857656809540906,0.09917777777777778
REAL,real_00416.jpg,1.340358077629046,1.562183333333333,19.0,-3.4697203266406667,-3.977267368306227,-3.8993619146214478,-3.5082686565914463,-3.3496233303930234,-4.289778069093614,-2.70973264485296,107.48146666666666,68.23225382523366,0.7161731608514814,-1.001151108090121,95.216525,60.9845371816308,0.8129557966542524,-0.746918335519247,88.62875833333334,61.5024951089379,0.9556850062042749,-0.46200255579418936,0.9866056656389733,0.9767961287510146,0.9956044567316724,106.44133537652947,62.475258333333336,255.0,3.732472157802148,4.215272533854385,2.6164500998630285,1279023.1670111148,0.00026008493742537983,2.0798181369240663,2.4338202009655325,2.2689117454350085,0.24819835825617284,18.81001388888889,8.244919462569147,3.7682458285466938,5.201977232326227,129.43048327190934,4.300564192135052,33.77021496260876,0.09920277777777778
REAL,real_00417.jpg,1.4488215059074527,1.9458749999999996,18.333333333333332,-4.199147423356604,-7.350140893260798,-4.425781513411846,-2.7744382560692573,-2.158015161521874,-1.8511942841255176,-4.475160399587338,114.594475,73.94298507053283,0.055488370962559035,-1.6195343089078607,95.59551388888889,53.00888342100288,0.34848433219704794,-1.0807061790788457,93.86253611111111,43.824244758800475,0.7593139453848092,-0.1910683283919794,0.9424941175024568,0.8232781940626915,0.9524723272498868,105.74462034228448,61.11214722222222,255.0,2.332417506664805,1.748143736833881,0.9512939089375885,499457.67809091293,0.00010204764387521484,1.4114032681212187,1.1735046245115819,2.687446763046129,0.13212932484567902,16.48781388888889,7.850842583855172,3.7230275576328684,5.472286666528151,69.42081820318744,3.762285481136352,17.698562156185925,0.09936944444444444
REAL,real_00418.jpg,1.8464393598624753,2.7612268518518515,17.0,-3.1933458021513244,-7.09606781346308,-6.968698154073681,-6.262745494045888,-6.245295045856965,-7.450793300123164,-3.4177665702391677,115.768725,88.10802894544942,0.19423454412144656,-1.4810193641272882,105.78264722222222,71.06567122890233,0.33533625209994017,-1.4837849029426828,99.14136666666667,69.91072095433178,0.43365628618075014,-1.3671833335113552,0.9329573839089043,0.8506208917079742,0.979650804043126,119.91975088373178,110.75661944444444,255.0,8.344918495528066,8.520306835048794,4.891812787634784,6393405.601898639,0.0010051269954959433,6.409795273696193,6.532889796980264,1.7307623625434372,0.3840476668672839,19.915569444444444,8.834617317572688,8.796488931083177,6.6640318636524825,98.1758626139847,2.9003989841547173,15.38936695963713,0.09946666666666666
REAL,real_00419.jpg,1.8506376843319197,2.403448148148148,19.666666666666668,-3.40963105076455,-5.662606223495041,-5.101418769081408,-4.315659744815617,-3.4660380979741356,-1.478519674283037,-3.380412665215719,142.97022777777778,82.41129855961165,-0.13268684561098085,-1.485287650338678,109.95699444444445,71.88677227626769,0.2711973796724989,-1.1831800032328355,95.36492222222222,67.47200163026106,0.5765227356477405,-0.7082555717195276,0.9690823142790964,0.9285318241477951,0.9894427983235389,118.418715532134,98.40150833333334,255.0,7.099068387619905,7.984931891815697,4.175214334983043,4626878.986045487,0.0006548659310881892,4.380724859728641,5.043058314691488,2.175243309168321,0.27208531719135803,18.707733333333334,8.576746480779034,7.47131432250938,8.607222488174271,154.8709139896837,5.073752441332301,47.24595636314067,0.09974166666666667
REAL,real_00420.jpg,0.8494851730338733,1.0076740740740742,11.333333333333334,-4.115396728527057,-8.867474871509044,-4.430241990743931,-2.7577301714448104,-2.3156194475896945,-2.755034358604518,-4.984453470180671,111.27408055555556,80.86764790119277,0.32843694383680766,-1.2546727100236295,86.51064166666667,77.04007988688194,0.9442679683135544,-0.34154517978818966,82.72704166666666,76.71050639234817,1.0672760423884766,-0.09772549861453994,0.9274495359305795,0.9011174801782456,0.9857274724500146,98.46526941819208,49.739575,255.0,1.6274907451324143,1.9769964054056635,0.6858169990053258,243179.61345060504,4.4234230774778976e-05,0.8571719107834016,0.9754084867307412,2.806689728599661,0.09190562811728395,16.323822222222223,7.339098510455684,2.9719812481263834,4.755395805434149,99.53014618697192,6.075532723391181,58.071691951961576,0.09841111111111112
